mp_id,formula,K-DFT,G-DFT,K-M3GNet-MatPES,G-M3GNet-MatPES,K-TensorNet-MatPES,G-TensorNet-MatPES,K-CHGNet-MatPES,G-CHGNet-MatPES,K-M3GNet-MPF,G-M3GNet-MPF,K-TensorNet-MPF,G-TensorNet-MPF,K-CHGNet-MPtrj,G-CHGNet-MPtrj,K-TensorNet-OMat24,G-TensorNet-OMat24
1008835,OsC2,357.547,194.292,262.2323605,228.4786337,325.6880823,182.5068311,342.4648917,173.8273584,263.6536299,67.01874171,244.1128505,68.51731358,240.2192689,68.54222127,349.5807629,162.391578
997617,BOs,354.637,212.354,314.3622171,165.6140038,342.5123875,220.4151934,316.264259,162.4702234,337.5206074,57.802909,280.8502174,36.35155512,269.7764126,54.56800238,342.89163,138.6658314
1018849,OsN,353.873,130.572,150.7110249,24.30347054,223.5041013,95.63187652,325.2052707,124.6956626,331.5555157,17.49079394,270.9920426,26.70938256,316.944442,59.30262368,344.3274581,111.1111952
865960,CoRe3,352.906,163.317,316.9319805,138.8423055,333.0707472,154.5462832,308.5421801,123.2931761,322.0951827,47.23206969,327.8006951,24.69772356,310.533619,65.61424792,286.5034516,120.3307311
999549,WN2,352.115,226.611,471.5337867,322.3563039,403.9766654,264.2670943,230.8757054,166.034082,334.4251145,74.61614004,251.6352037,86.4476924,269.9905803,85.47587983,354.2414439,169.0162172
823,TiCo,351.113,68.061,165.3226833,59.56199602,163.6298562,41.07184878,128.4211473,19.8110509,148.6291447,37.80378194,167.0656707,34.38493026,158.6587003,24.93764379,143.033588,41.71094454
30745,Ir3W,350.814,194.892,328.2469039,147.8732309,346.5942733,183.8728447,316.1993903,156.1040058,321.955448,50.58475453,262.1399287,26.58107273,304.7618218,79.62339181,315.4169915,129.0141871
974625,Re3Ru,350.663,184.629,345.0831968,141.9654226,326.6693146,164.0835944,338.7586068,131.8121211,333.1111321,28.71967298,355.3485553,15.48763769,340.3659268,61.98659199,320.740527,120.3941221
2305,MoC,349.501,241.645,405.7272382,252.8766293,341.803113,236.7890498,281.6962658,184.6097052,318.7020864,60.28538442,285.4099398,15.22140513,294.3666581,92.30212688,327.9781543,161.4013888
1019054,ReC2,348.768,194.625,338.6005573,302.936943,327.0239559,203.9975686,290.2932218,157.1221101,204.3729438,63.1748433,289.4714944,94.48488676,267.7297789,89.58284551,361.1349566,185.4167022
1008805,ReC2,348.477,205.664,364.9281204,308.6064877,315.5150458,194.5084313,282.5038625,156.0195537,172.7736769,58.81744969,278.4805186,87.92029491,274.9920589,90.89580022,342.7266493,171.0787876
8102,W3N4,344.254,70.766,271.1346239,58.2618628,310.4466516,108.8903147,248.531718,99.3044529,275.498836,-81.45573238,295.9822283,-0.163470401,269.4883693,43.65043835,323.6335944,124.3380488
999117,TcN,343.828,144.403,252.5075147,79.1306908,302.5225084,180.9817535,251.7563752,137.9039209,373.6924271,37.19941881,296.522353,8.946991965,288.1335636,50.80349559,316.1718904,125.8672025
974416,Re3W,342.858,146.125,335.8072223,120.1602203,324.736289,115.1723185,329.5990712,97.21133443,338.0604071,35.55063295,321.4575588,11.08024656,329.3287634,48.83320596,327.3658761,94.79628133
7832,BW,341.8,196.608,310.5760763,175.5692674,312.9544702,172.0412372,298.5110675,173.1207977,321.5798254,87.71546944,245.9009259,30.86785201,321.01801,80.27790828,294.4707821,158.4700248
1008487,BW,339.625,188.232,311.2307475,172.6639215,306.309275,174.0549423,299.1010726,172.4570294,318.2659346,84.26140624,262.7099554,27.14517204,319.4978354,79.12879644,288.5599516,153.8702869
415,IrN2,339.595,206.661,352.3537497,142.7342716,323.5878097,192.1142259,226.6030035,122.2368468,275.815991,71.44671233,291.343098,49.38923581,285.1125857,69.86067107,279.5256008,129.8994022
1459,TaN,337.979,235.294,336.0746429,248.3533737,371.5869236,244.878344,348.6050132,189.0673877,335.2290574,98.85941293,234.2743244,21.71664036,328.4983183,101.9321093,309.2563114,179.2952135
1773,ReB2,337.733,276.94,231.4151369,241.5295922,314.9971847,256.8932444,307.6014663,210.8892581,325.3209339,98.19987292,273.1985146,41.19900088,270.6483525,84.67159464,333.2258564,186.0533591
10030,RuC,337.414,77.299,319.7764122,132.4628927,254.2868021,93.83705578,286.2154763,100.610129,316.5251631,46.70823276,228.7333366,13.9839552,279.2935439,37.74704799,370.7452967,116.7188376
11482,MoIr3,337.003,189.314,232.6239551,127.8706143,322.227036,183.3941877,294.547818,148.6302214,299.9845248,35.08344754,270.3961542,31.42817018,299.613502,71.33689583,304.0767155,130.4704737
1018050,CrC,336.54,249.439,299.372482,235.1180798,314.7870985,244.5611312,324.8521033,176.7964718,201.1302306,61.44644144,218.4992197,42.06792744,275.8617903,101.1962626,340.8810217,164.9817362
567397,W2C,335.85,169.09,305.043882,145.702713,333.8524549,143.6759091,228.2061516,125.520111,283.9261679,55.3717843,274.2634804,43.65847129,284.3726467,69.02018284,295.1527068,128.0974586
1002117,TcN,335.61,116.329,199.6386867,0.898437363,229.9226923,102.2565546,279.4003174,21.50701702,277.0347173,263.1345407,308.8699116,487.6717263,270.7773463,-71.07969676,339.1080223,84.58184733
2034,W2C,334.971,167.632,313.6501392,147.8152192,335.6067141,147.3569375,228.4978247,132.0544776,281.4043046,57.76722324,275.2943314,43.06966177,289.2259023,73.8978316,295.030735,133.4180509
1008826,OsN2,334.82,68.185,440.0508344,50.72055728,250.391854,116.5707612,271.7938434,67.93396524,306.8013994,16.32626004,307.2643465,861.3833058,296.9154268,40.8964624,274.6164909,137.4124284
33065,W2C,334.316,171.769,313.0975562,149.3444856,328.9666862,145.0201281,232.2285899,130.2363389,285.0791451,60.83560648,274.1816187,41.93152741,289.2770243,70.78248338,297.0313566,134.5529084
2746,MoC,333.899,189.755,314.3384074,126.4161286,228.8944635,120.5138055,324.509741,141.4401319,297.3669205,-11.11241778,274.2005359,7.383678702,315.6719007,63.01045341,287.2218673,103.4150631
567925,MoC,332.992,143.971,284.8539574,140.3384274,299.984122,191.4741733,315.7297664,180.5765874,274.6305179,35.90777366,290.2939412,27.69638809,307.1423898,88.02645754,300.2421453,145.4341269
2811,MoN,332.975,196.526,248.005473,69.12507701,329.7927228,226.3585783,275.1051913,138.5951352,301.9597383,45.70944594,328.4414765,42.9798029,297.2422675,96.84195232,332.6648426,155.3745515
1008798,ReN2,332.601,140.635,629.6038516,312.0789226,328.7296752,189.2415701,269.1699878,138.2740564,175.5887216,-1.902663404,226.9095814,29.00203466,215.5777583,52.55021053,369.8515034,165.5050708
974326,OsRu3,331.196,215.629,273.7338374,183.2391564,326.5403477,183.9919357,300.5665489,150.1956352,308.9391689,27.56479235,317.2957738,23.59730043,305.7355336,70.36970208,302.6592588,129.8552963
1017987,Tc3N,331.138,180.392,362.891299,155.1764874,340.6732577,171.8137288,301.7725331,107.0728358,343.6758718,52.85012252,296.1610661,43.82505937,281.2619103,42.56345402,326.5474618,112.1257
251,TaN,330.533,142.307,266.238857,124.7515642,285.8215563,98.239501,346.7747239,116.9604196,273.6359799,21.17559573,239.4731798,20.64387897,312.1056475,49.77571918,262.8612417,43.09506909
999307,OsN,329.587,170.722,246.6169355,175.3698464,243.6391,159.7818643,240.4616337,104.9802765,292.4000341,30.9007785,175.7335924,28.90688476,228.3123684,46.74408742,325.163899,139.7581376
1113,BW2,329.552,157.907,310.8135244,138.1461161,311.1293161,149.4084633,299.2994022,145.4584476,317.3399324,70.30156492,250.391917,37.85884651,316.6268032,82.02398222,328.6403981,151.4313032
570604,TaN,327.425,185.363,353.8585205,239.779042,263.657748,182.1199758,288.3581278,198.3791173,318.4836093,95.91738038,245.8964774,59.44936994,314.4017354,125.3714902,287.803842,146.5486262
862589,Re3Pt,325.952,204.28,294.6380646,170.2119044,339.0245169,193.4668821,319.3204486,151.7215599,327.7415842,63.78949033,349.129373,29.62932718,334.1952313,60.86943844,312.8096559,137.4178238
862779,Tc3Os,325.151,174.876,304.8562553,146.3099291,310.8523381,153.2575146,308.7245344,126.9275967,289.8318532,6.620486835,300.8063972,25.00577743,309.7412288,51.2990414,286.0536386,112.8939782
863709,Ir3Rh,324.498,203.512,300.7357918,188.5925236,295.0969156,185.7849813,290.4853053,163.5437924,313.67726,40.4213388,305.3623312,30.62186166,299.908544,83.86156663,304.8660032,144.9724028
1086,TaC,323.894,176.246,285.5026539,203.7228974,308.6803919,216.7252291,267.8573953,169.0678283,277.9975802,61.0813142,267.3679878,67.81026647,315.0180443,89.44493259,280.8059179,147.0930412
999264,ReN,323.875,153.168,286.212535,136.4858207,249.9517938,130.749746,244.7201627,86.09507944,299.9808245,35.10348308,226.3077657,485.1837219,206.3676034,25.98545802,341.0398979,139.6436449
265,TaIr3,323.564,212.167,208.7986555,199.967845,286.1799472,167.0843608,279.9841919,172.3829002,294.6074863,48.54021646,266.5739493,41.96545174,277.6662821,71.48353196,318.4458449,173.0423983
1017532,VN,323.541,215.041,336.6274996,163.4391898,320.5067707,219.3130665,309.9583072,185.3592523,253.7516879,63.97558779,295.410799,54.15503385,230.5967808,72.97941395,313.3605948,186.6894747
1001827,IrC,323.532,82.577,224.672922,-2.591278115,231.241954,36.58540673,198.8216593,41.62244095,285.9558056,-13.33124415,305.687342,-16.74710313,309.2647589,2.84052008,349.8752141,96.01922242
1019319,TcN,322.518,156.601,261.8892863,127.0022058,271.6694583,153.8796324,284.8197386,130.3995546,277.6834874,14.52491347,299.1865586,66.8317991,267.9394516,48.20692452,288.0509601,122.0114616
10144,B2W,321.856,144.049,334.5408657,128.3576788,234.5599911,151.564041,273.7171436,141.8084282,227.4616139,45.14075768,222.145668,138.4696716,274.4624405,59.16924168,262.9481082,112.4284166
862620,IrRu3,321.281,185.926,289.4550009,175.7300442,324.5355679,191.4258033,314.1825003,146.7409924,301.3560061,17.39709577,308.1436012,23.36832392,286.0745972,71.95668776,287.5266856,135.9603644
1009787,RuC,321.211,44.583,246.4709919,-64.64876585,227.3980666,-80.33948087,205.4624486,40.29740852,295.3651224,-10.24945629,239.2673183,-10.54144385,280.3294755,-1.891808497,306.4180974,57.41020493
865496,VIr3,321.065,186.516,267.9721695,114.9260877,298.6988974,167.4590239,245.4091373,138.9920422,294.6630666,29.07667927,293.4003852,36.3381348,295.631872,74.35766043,279.7142079,127.2574111
569803,B2W,320.671,209.293,283.6679182,191.5082263,291.747585,220.8402275,296.3607746,188.8339498,248.0969145,76.84483389,266.4753696,50.67912321,297.4075702,86.41701674,327.1970022,176.2917509
13076,IrN2,320.194,194.111,502.1996309,187.2127592,299.1840049,178.6116565,211.9410619,124.8234955,286.1851281,62.27189117,296.1805015,54.64071415,268.4139342,71.40791574,283.2470203,134.9478492
999317,OsN,319.999,197.237,405.1048843,215.560179,433.638948,175.9139043,224.5539,131.5780976,338.8913087,45.72493835,142.584397,68.50719279,300.1250717,73.67599072,350.7247723,174.1054784
1082,VIr3,319.895,218.807,283.2249075,150.8539168,311.7173627,203.8662886,237.7879555,159.800789,288.9961924,34.35796338,297.1540401,47.21674151,300.3201798,86.68736339,285.9194043,156.7889194
20937,Cr3C2,319.679,168.003,242.596034,114.8332831,305.7125595,189.8159404,279.4208573,147.1259232,238.0378207,43.94863862,275.5247387,51.59075594,305.2402938,87.52127591,294.4050447,154.7965562
973534,FeRe,319.664,156.612,328.1044958,131.9854412,270.1106393,109.4954629,245.1343558,98.6742372,301.0562564,41.09915676,202.1082032,30.19743081,293.0290903,68.79484996,202.0120223,99.7598128
1002105,VN,318.361,228.608,464.3068082,179.4398872,247.6395352,186.0860701,360.462781,133.6584128,354.3431022,-84.5245583,330.8586434,-65.42912904,328.5552165,31.11836922,345.7356012,151.4399888
567747,Co7Mo6,317.793,121.476,222.1548491,75.90345873,230.1906243,94.40255636,209.9050742,94.22024884,248.2840447,40.32188961,208.3062938,28.57274489,244.9925228,67.76623707,184.1442749,89.66751145
862604,Re3Ni,317.142,179.065,363.4527792,155.207692,348.236514,151.5529748,325.1288737,125.8837357,357.0609386,40.46492521,323.0775166,25.59275165,313.1370085,59.92136054,285.922608,109.9214988
925,VN,316.753,162.007,245.739146,87.71079621,248.1284534,139.5852709,272.1350734,116.9735721,204.7549034,-55.36321313,239.2101668,7.425674315,213.4302562,46.00294603,271.9379832,80.11381749
1008625,W2C,315.374,155.666,281.6752412,151.970053,330.7437627,163.0285914,259.1190865,133.5755312,248.4343441,55.48082139,269.7883723,31.19751523,283.5628166,65.94026905,304.2742564,117.6857055
2701,NbN,314.396,195.263,345.6881595,186.2447432,278.7177774,197.940632,211.2271262,94.50842354,264.5373003,23.57905501,240.9374337,48.51077374,282.4973052,62.77600561,310.554042,156.5538132
1009485,CrN,313.927,140.253,438.5383841,30.55223111,257.1842932,134.3891565,339.9721821,111.2354604,296.5192925,-24.77064166,332.5431035,-61.86671352,344.7160143,-38.72580126,288.4656215,139.4298394
1111,Mn5Si3,313.656,101.503,102.0371356,69.54618342,103.3622271,100.6032917,52.59397597,72.05184322,112.3862989,17.84245633,103.0915234,35.48873382,104.5574961,50.14665605,163.7759075,110.9683525
1339,NbIr3,313.146,205.818,263.4875597,167.0996698,310.152188,183.1554042,288.7690343,168.6865609,299.314922,45.97231875,292.3199469,42.78114789,276.3838472,68.74207015,310.0245079,161.2747056
2634,NbN,312.566,209.5,270.9422231,206.1515096,319.741416,220.23366,271.8758829,151.5687658,278.949794,50.56612938,229.0215243,38.386682,301.5435132,97.3192947,298.8595691,158.3650794
1009831,TaN,312.497,189.096,233.8911345,119.5518763,310.7352821,79.67231626,281.3190784,113.69763,275.9616723,-35.49065291,257.0911292,-144.5650592,247.1767366,-7.5176447,279.6249251,126.3177076
1002183,TcB,311.631,131.046,371.2435157,93.52737178,206.0730421,140.8558245,202.4340044,77.01782346,297.5247624,-29.49605156,226.4591533,-45.6306847,299.9692099,50.87674196,274.8265162,78.1488299
8101,WN2,311.395,69.541,209.8640132,15.82216032,212.0215681,152.402998,330.1125709,84.62054486,143.5144355,15.23985515,111.2829027,22.65345915,259.4188881,48.68202038,306.0000478,130.9236748
2850,B2Os,311.334,167.398,282.7844669,177.9609738,270.4329161,237.5446867,268.6242822,193.350239,285.0434419,34.2462678,252.0751449,45.02732229,269.4810959,75.25530052,300.8516667,177.246204
1890,BMo,311.129,205.308,247.0451889,158.8933872,306.3124667,184.1339637,228.1868078,143.397804,256.9022385,74.13378666,252.0611973,38.43151955,285.2656139,76.21628187,279.2129977,149.7932372
9258,SiO2,310.27,213.805,327.9831625,207.2672158,373.9684089,190.2883799,274.8519995,164.5065388,397.3845463,170.5614869,334.2258076,206.0214192,272.8159868,169.8343006,320.103385,233.0142056
1019317,TcB2,309.759,240.891,275.1285685,264.2778896,255.525975,236.8188474,250.2627497,183.056773,308.9291506,64.70016015,271.4993028,62.00012068,255.1766837,74.54179779,339.7177422,181.0058074
570112,Cr3C2,309.637,144.082,245.7819605,97.44245806,256.2872351,161.3606922,253.5616325,135.7580069,157.0717364,23.41094182,271.7022654,56.33474339,284.4479548,82.54186432,283.02839,152.9995031
11481,MoIr,309.568,182.715,277.2086615,162.1766051,282.7620893,144.1999962,288.5197885,137.8065222,289.2252455,-14.21044257,220.0802071,24.36835098,271.8784963,59.97837236,290.2626253,114.3016356
20857,CoB,308.915,149.359,230.9790899,89.85374257,246.6731391,132.4857722,238.7277336,120.000533,264.2595268,64.89738216,228.0961116,60.7985845,254.5237202,74.56175457,267.3952964,140.8579886
999198,BMo,308.669,192.421,247.5027414,155.0785241,310.7487907,186.3645211,227.4102219,143.9377742,252.6313478,69.93414496,241.6959432,34.47160096,289.3286016,79.15637246,273.6079031,146.4857413
867356,TcRu3,308.589,192.283,246.9964098,161.9191955,306.0086267,168.5390997,277.8230556,127.5820666,311.4847223,16.88435519,254.5181646,14.15240196,297.7598409,55.29835385,291.6438581,140.1791977
980203,TiOs3,308.449,110.247,371.00451,140.7293009,314.5098481,150.4940329,254.3900526,118.5175378,343.6616081,16.05199736,295.2454371,-15.34933268,310.1584318,57.91203135,288.689563,96.89037504
862655,Ru3W,308.427,168.416,264.9560987,147.8902253,292.3512523,158.2049753,296.8818439,121.165172,312.7210962,14.72262688,240.7177365,6.644016722,278.8258572,54.47652115,279.9890201,96.45851746
1430706,WN,308.354,149.602,410.8848499,137.3885048,348.7972945,175.0109499,382.2736534,143.7191194,327.7821033,56.05225883,256.7481657,46.27374264,308.5182104,73.79082445,354.9742713,153.7477504
12083,CrIr3,307.958,214.386,273.198655,170.776322,303.1105039,216.7448064,242.2820325,156.6536913,284.55499,47.82680726,280.9466619,34.27981898,280.4492951,89.52553451,259.2400966,154.8069899
1282,VC,306.705,208.742,254.5908402,175.2631388,254.0561158,208.3308313,251.2157639,167.6121518,206.4970159,28.58526078,205.2750106,7.522454755,242.8520651,87.20200811,268.8230058,169.5444466
1279,TaN,306.305,181.327,298.3083023,130.6513919,283.4133804,131.589595,307.5846872,133.9733552,270.859806,45.56090783,227.249454,57.23111123,228.3584075,64.90748684,286.4988314,121.7270317
568901,NbFe2,305.721,108.524,158.2827095,63.5083592,139.4841402,67.65523121,159.3512492,66.23386695,239.4878298,65.76530911,147.3189271,34.78252417,142.2024293,43.16468813,111.3822215,48.06974739
999357,NbN,304.91,165.167,263.7988495,189.2207309,266.1608875,171.9043101,296.2521798,179.8265255,279.2801502,50.4325745,241.4140628,56.5634759,316.980415,128.6513701,278.7045897,138.1755102
1580,NbN,304.766,139.843,293.0362355,130.6591074,267.483909,105.1916571,281.458577,104.2381099,235.9108416,7.182054868,267.6875078,32.65340816,276.6897155,55.44140588,252.1417991,47.40560913
2363,HfMo2,304.609,1.25E+11,139.0074625,39.11313307,179.5404056,70.60482202,159.5898088,44.44243602,187.2598996,36.89525776,170.8035292,41.0596551,185.0847947,29.52198493,206.3623789,64.77848752
1018734,IrN,304.326,73.461,274.4139815,75.96170258,176.1732047,65.56222522,301.9718863,76.07393764,286.0070281,-23.58707454,290.4882407,4.903108108,264.3551661,33.75525681,304.519495,74.72497734
1044,UIr3,303.949,122.424,253.3760947,105.6505425,261.3952083,107.5127826,263.2657815,119.729833,238.2787582,43.06789009,227.0775353,55.43514381,291.705417,57.18261027,279.3429456,125.700889
960,B2Mo,303.426,158.777,263.2155545,145.4447582,245.2081631,162.3032266,241.9230386,144.4311351,246.9701098,56.68697247,209.7051871,28.76776055,261.4211343,69.26430431,268.974168,127.7420697
1108,TaB2,303.164,199.428,287.3050878,164.6659316,299.5008121,233.4688194,202.0252733,175.8813384,255.7091796,78.87682243,196.3214971,63.26859579,286.0386396,97.98695474,279.6206033,182.9526209
1002188,TcB,302.964,177.149,294.5083472,166.0514546,316.1252693,204.2381344,322.3339437,138.7293707,266.7916548,47.07437626,233.809243,-1.911761204,277.7135268,77.40887139,281.3151088,128.2327616
1007660,IrN,301.33,153.835,438.1141171,240.1921621,261.9198417,175.357486,271.2895833,102.1571886,248.8365054,28.52415376,239.5273776,-6.602400825,229.5174319,54.45330433,291.7633095,131.6188829
999120,TcB,301.077,189.179,294.9378265,170.1699375,284.1853214,183.0896384,271.3853303,153.5207843,269.7874182,36.68012405,251.8846409,12.16250036,277.840822,84.84550744,278.580492,155.3337059
20318,Mn2B,301.039,168.637,231.6760079,103.7246333,243.7239513,162.0320547,270.1230353,137.2243257,201.0645566,48.02009129,285.0364934,42.16576435,247.1439713,88.52747784,270.636506,147.806807
889,Cr3B4,300.71,205.66,268.1655384,206.1815268,230.5394055,202.1573112,266.3144482,175.6296347,224.8039365,68.81506577,212.0776809,39.47559845,251.0326735,94.44268139,228.0969192,160.2317872
2331,B2Mo,300.149,211.409,232.600859,195.5890616,272.0122267,215.0290446,247.7608735,179.4020588,246.0586466,74.9535932,240.9526223,39.51551733,267.2201006,89.40975015,306.9803747,165.2051022
644751,BN,299.812,218.928,348.2969832,262.9388765,284.0444965,268.4688045,354.0160311,223.5551616,183.6870843,92.26950059,77.15026948,52.47275465,271.7753195,122.5063435,112.9428652,60.58795403
1009471,NbN,299.401,199.167,245.2508979,123.1059219,248.7629661,86.73266707,310.9992266,140.0881211,317.3355341,-27.01033157,233.2126658,-73.56604753,289.2220893,11.53256585,274.7901929,138.6147811
2394167,VN,299.032,148.726,204.8616084,94.85744028,278.33068,159.2741464,302.7381305,118.8541095,231.8661884,-9.500645726,228.6902618,34.20934724,225.4870671,45.25501201,304.9153928,137.6672482
15799,NbN,298.99,138.373,252.0728443,105.0507365,276.1009095,140.6792295,272.1384774,139.811326,256.2541891,35.86658827,243.4039251,45.56301677,287.3296146,92.94835178,282.1506691,117.5342329
972036,WN,298.554,66.458,352.9077569,157.0995067,315.7849908,119.9215593,246.4649731,118.089545,344.9538806,-3.706710594,247.0783389,56.86628471,258.0257619,62.02944386,298.7440786,128.7184765
1841,SiIr3,298.389,102.452,232.9601113,75.30998121,271.1185391,126.6232876,290.4642396,110.4520263,301.5358693,49.20467868,239.115954,32.40115666,261.1007493,63.21235845,300.3329564,125.5977114
1009078,CoN,297.425,71.779,195.8625428,58.70389079,215.8137929,107.2108823,258.1790739,69.69926395,218.1789613,-0.166899379,230.5939922,52.07411148,195.730294,25.5977122,235.8242334,82.42659405
862586,Re3Pd,297.088,173.524,310.8297432,156.3298494,343.685891,169.6571836,314.5166083,131.1603089,356.9924916,60.69607339,329.0809489,37.57370698,321.6456664,62.97883051,296.186736,124.3029098
910,NbC,296.238,180.981,247.2423957,164.0943508,272.8940461,192.4727419,226.825871,143.8664943,287.2073327,65.14617568,256.9727613,69.31114996,294.9244521,89.20632859,268.6853007,144.3655545
12875,ReO2,295.868,133.476,292.8514363,89.63331507,289.6491572,153.1018127,237.2114662,98.13665792,259.0207872,47.35656522,235.4029842,95.90978543,253.7201977,96.07763525,312.2603468,143.0888625
975834,MoRu3,295.76,165.564,310.8484964,157.4616837,301.2194647,163.2608891,266.1081686,111.5837577,286.3534674,1.781001161,258.0229429,12.62082846,279.533556,52.63846888,270.4402988,93.60911139
